time,rate
0,0
28,30.6429
59.04166667,26.7097
89.04166667,55.2
120.0416667,56.0645
150.0416667,77.3
181.0416667,156.161
212.0416667,192
242.0416667,200.5
273,177.355
303,177.567
334,170.71
365,150.581
393,55.5714
424.0416667,67.5161
454.0416667,91.1667
485.0416667,76.2581
515.0416667,124.367
546.0416667,99.8387
577.0416667,146.032
607.0416667,138.967
638,128.484
668,120.7
699,84.5484
730,127.419
759,135.586
790.0416667,160.29
820.0416667,180.467
851.0416667,150.226
881.0416667,136.133
912.0416667,102.935
943.0416667,121.387
973.0416667,120.933
1004,115.806
1034,95.5
1065,103.323
1096,96.7742
1124,98.25
1155.041667,85.4516
1185.041667,75.4333
1216.041667,70.5484
1246.041667,60.1
1277.041667,80.4516
1308.041667,78.5161
1338.041667,77.8
1369,82.129
1399,66.8
1430,71.0645
1461,71.2581
1489,71.3571
1520.041667,68.5806
1550.041667,67.8667
1581.041667,70.6452
1611.041667,66.1
1642.041667,64
1673.041667,63.2581
1703.041667,71.0667
1734,57
1764,43.2333
1795,43
1826,45.129
1854,38.2143
1885.041667,44.4839
1915.041667,44.4667
1946.041667,37.8387
1976.041667,36.5
2007.041667,33.4194
2038.041667,40.5161
2068.041667,44.1333
2099,43.7742
2129,38.2667
2160,40.7742
2191,38.5161
2220,40.069
2251.041667,38.7097
2281.041667,36.6333
2312.041667,36.9355
2342.041667,33.4
2373.041667,38.0968
2404.041667,37.8065
2434.041667,42.5333
2465,38
2495,32.8667
2526,30.4839
2557,31.9032
2585,32.8571
2616.041667,31.9355
2646.041667,33.3333
2677.041667,32.9355
2707.041667,33.6333
2738.041667,32.5161
2769.041667,34.3548
2799.041667,33.4667
2830,32.0968
2860,30
2891,29.4839
2922,32.2581
2950,28.5714
2981.041667,31.9355
3011.041667,31
3042.041667,19.6129
3072.041667,24.1
3103.041667,22.3871
3134.041667,22.871
3164.041667,23.4
3195,23.2581
3225,24.2
3256,24.8387
3287,25.8065
3315,24.9286
3346.041667,23.3226
3376.041667,25.1333
3407.041667,23.6129
3437.041667,21.6667
3468.041667,23
3499.041667,24.3226
3529.041667,22.2333
3560,22.3226
3590,23.3333
3621,20.9677
3652,21.2903
3681,16.3448
3712.041667,15.6452
3742.041667,21.2667
3773.041667,14.2903
3803.041667,14.2
3834.041667,13.6129
3865.041667,13.129
3895.041667,16.7333
3926,13.9355
3956,16.4333
3987,11.3226
4018,10.6452
4046,11.4643
4077.041667,16.9677
4107.041667,17.1333
4138.041667,14.6774
4168.041667,13.8667
4199.041667,10.5161
4230.041667,14.2903
4260.041667,20.8667
4291,19.129
4321,20.2
4352,17.6129
4383,15.871
4411,18.6071
4442.041667,17.4839
4472.041667,18.4333
4503.041667,17.2581
4533.041667,17.0333
4564.041667,17.2581
4595.041667,18.0645
4625.041667,18.9
4656,17.3226
4686,19
4717,17.9032
4748,19
4776,19.75
4807.041667,20.0645
4837.041667,19.8333
4868.041667,42.1936
4898.041667,45.8667
4929.041667,44.7419
4960.041667,52.6774
4990.041667,42.3333
5021,39.8065
