time,rate
0,0
28,46.6429
59.04166667,159.258
89.04166667,240.833
120.0416667,240.903
150.0416667,203.633
181.0416667,144.806
212.0416667,153.742
242.0416667,132.3
273,123.581
303,101.6
334,138.903
365,189.935
393,274.429
424.0416667,339.774
454.0416667,286.2
485.0416667,393.387
515.0416667,372.767
546.0416667,397.258
577.0416667,402.677
607.0416667,387.833
638,370.129
668,319.3
699,336.387
730,387.129
758,392.107
789.0416667,379.387
819.0416667,501.7
850.0416667,451.581
880.0416667,378.7
911.0416667,349.161
942.0416667,341.129
972.0416667,313.1
1003,316.097
1033,336.733
1064,354.129
1095,365.677
1124,374.828
1155.041667,460.226
1185.041667,498.367
1216.041667,428.387
1246.041667,384.333
1277.041667,350.871
1308.041667,345.097
1338.041667,324.3
1369,322.71
1399,308.467
1430,311.129
1461,295.806
1489,268.821
1520.041667,596.613
1550.041667,528.4
1581.041667,533.097
1611.041667,590.4
1642.041667,671.806
1673.041667,593.161
1703.041667,630.8
1734,726.065
1764,545.4
1795,800.968
1826,791.129
1854,1770.64
1885.041667,1402.74
1915.041667,1898.33
1946.041667,1328.29
1976.041667,2832.1
2007.041667,2496.32
2038.041667,2365.06
2068.041667,1669
2099,1436.26
2129,2125.7
2160,3117.35
2191,4247.65
2219,4710.86
2250.041667,3804.61
2280.041667,6313.43
2311.041667,5042.42
2341.041667,4141.47
2372.041667,6380.58
2403.041667,5830.29
2433.041667,5132.4
2464,4498.84
2494,3653.1
2525,3258.42
2556,3114.42
2585,2948.41
2616.041667,2413.65
2646.041667,2635.5
2677.041667,2663.71
2707.041667,3078.67
2738.041667,2752.26
2769.041667,2444.71
2799.041667,2194.1
2830,2561.13
2860,2432.67
2891,2103.45
2922,2013.06
2950,2013.39
2981.041667,1891.71
3011.041667,2004
3042.041667,2000.26
3072.041667,1885.1
3103.041667,1738.74
3134.041667,1798.29
3164.041667,1645
3195,1621.48
3225,1264.27
3256,1345.45
