time,rate
0,0
28,106.679
59.04166667,282
89.04166667,286.7
120.0416667,327.419
150.0416667,167.9
181.0416667,145.581
212.0416667,118.452
242.0416667,122.867
273,176.71
303,163.4
334,147.29
365,208.871
393,207.286
424.0416667,191.355
454.0416667,164
485.0416667,159.161
515.0416667,148.8
546.0416667,138.323
577.0416667,148.645
607.0416667,137.4
638,137.129
668,135.3
699,126.516
730,124.194
759,128.414
790.0416667,122.387
820.0416667,115.267
851.0416667,113.032
881.0416667,105.867
912.0416667,102.258
943.0416667,99.9677
973.0416667,99.1667
1004,97.9677
1034,99.6333
1065,98.3548
1096,93.0968
1124,93.6786
1155.041667,92.4516
1185.041667,85.6333
1216.041667,83.6774
1246.041667,79.4333
1277.041667,84.0323
1308.041667,101.742
1338.041667,85.1
1369,74.7419
1399,81.2667
1430,72.4194
1461,77.3226
1489,70.3929
1520.041667,67.3548
1550.041667,62.6
1581.041667,57.6452
1611.041667,61.3667
1642.041667,60.6129
1673.041667,77.6452
1703.041667,70.5667
1734,70.5484
1764,69.0667
1795,68.8065
1826,68.9677
1854,65.9643
1885.041667,64.6129
1915.041667,62.4333
1946.041667,57
1976.041667,58.4667
2007.041667,57.871
2038.041667,78.2903
2068.041667,43.3
2099,59.3871
2129,58.4333
2160,58.4839
2191,56.5806
2220,54.3793
2251.041667,53.5161
2281.041667,50.4
2312.041667,49.9032
2342.041667,44.7
2373.041667,49.0968
2404.041667,47.3226
2434.041667,47.4
2465,47.7097
2495,48.7667
2526,48.5484
2557,49.2258
2585,48.2143
2616.041667,45.8387
2646.041667,48.7667
2677.041667,44.871
2707.041667,41.3333
2738.041667,41.7742
2769.041667,40.0645
2799.041667,42.2333
2830,42.8387
2860,41
2891,42.3548
2922,43.3871
2950,40.9286
2981.041667,40
3011.041667,39.7667
3042.041667,38.8387
3072.041667,37.7667
3103.041667,36.3548
3134.041667,35.5161
3164.041667,36.1667
3195,34.4839
3225,40.5
3256,35.4839
3287,40.3871
3315,37.7857
3346.041667,35.8387
3376.041667,35.1
3407.041667,33.6774
3437.041667,34.9
3468.041667,33.2581
3499.041667,33.5161
3529.041667,33.2333
3560,33.0323
3590,34.3667
3621,35.0323
3652,34.7097
3681,33.5862
3712.041667,31.6452
3742.041667,29.0667
3773.041667,34.1935
3803.041667,30.3667
3834.041667,31.8065
3865.041667,32.5806
3895.041667,32.8
3926,34.0323
3956,33.7667
3987,34.6452
4018,34.129
4046,30.5357
4077.041667,32.5161
4107.041667,30.6667
4138.041667,29.9355
4168.041667,28.9667
4199.041667,28.7419
4230.041667,27.9355
4260.041667,28.7
4291,29.7097
4321,29
4352,30.5806
4383,28.3871
4411,31.6071
4442.041667,27.6129
4472.041667,27.9667
4503.041667,26.9032
4533.041667,26.4667
4564.041667,25.7742
4595.041667,26.1935
4625.041667,27.2667
4656,27.7097
4686,27.7333
4717,28.1935
4748,20.4839
4776,28.9286
4807.041667,25.4194
4837.041667,28.0333
4868.041667,26.2903
4898.041667,24.5667
4929.041667,24.2581
4960.041667,26.0645
4990.041667,25.4667
5021,22.8065
5051,25.5
5082,25.2581
5113,21.2581
5142,26.9655
5173.041667,24.129
5203.041667,24.6
5234.041667,24.7742
5264.041667,23.6667
5295.041667,24.0645
5326.041667,21.5484
5356.041667,23.0667
5387,23.4839
5417,23.1667
5448,24.3871
5479,22.3226
5507,22.8571
5538.041667,24.3226
5568.041667,22.9667
5599.041667,18.9677
5629.041667,15.0333
5660.041667,21.871
5691.041667,19.4839
5721.041667,20.8
5752,20.6129
5782,22.2333
5813,21.129
5844,20.3548
5872,22.0714
5903.041667,22.1935
5933.041667,19.3667
5964.041667,20.5484
5994.041667,14.6333
6025.041667,20.0968
6056.041667,18.5484
6086.041667,16.8667
6117,20.2581
6147,20.2667
6178,21.129
6209,21.7097
6237,19.8214
6268.041667,17.5484
6298.041667,21.4
6329.041667,14.2903
6359.041667,19.8667
6390.041667,19.0645
6421.041667,21.9677
6451.041667,17.3667
6482,20.5484
6512,16.4
6543,19.2903
6574,12.3548
6603,20.1034
6634.041667,20.8065
6664.041667,16.1
6695.041667,18.5484
6725.041667,18.8
6756.041667,16.6129
6787.041667,18.8065
6817.041667,19.0333
6848,19.8065
6878,18.2667
6909,19.4839
6940,18.2903
6968,17.8571
6999.041667,18.6129
7029.041667,18.4333
7060.041667,14.6129
7090.041667,16.0333
7121.041667,13.4194
7152.041667,13.871
7182.041667,16.3667
7213,18.871
7243,17.3
7274,18.9677
7305,16.9032
7333,19.4286
7364.041667,16.3871
7394.041667,18.7
7425.041667,15.0323
7455.041667,13.3333
7486.041667,17.0968
7517.041667,15.5806
7547.041667,16.4333
7578,16.5161
7608,16.7667
7639,17
7670,15.4839
7698,17.5714
7729.041667,15.6774
7759.041667,16.0667
7790.041667,14.5484
7820.041667,14.6667
7851.041667,17.4194
7882.041667,13.5161
7912.041667,15.2667
7943,16.9032
7973,17.6667
8004,16.8387
8035,17.129
8064,15.8966
8095.041667,14.871
8125.041667,14.9667
8156.041667,14
8186.041667,14
8217.041667,13.871
8248.041667,13.6129
8278.041667,13.4
8309,13.871
8339,14.8
8370,14.3871
8401,14.2258
8429,16.4286
8460.041667,13.9677
8490.041667,13.2333
8521.041667,13.1613
8551.041667,12.2
8582.041667,11.5161
8613.041667,12.7419
8643.041667,11.9667
8674,11.1935
8704,10.4667
8735,10.9032
8766,13.9355
8794,13.0357
8825.041667,11.9355
8855.041667,7.63333
8886.041667,14.7419
8916.041667,9.86667
8947.041667,8.83871
8978.041667,8.35484
9008.041667,11.3667
9039,7.03226
9069,12.0667
9100,16.6129
9131,12.3871
9159,12.4286
9190.041667,11.7742
9220.041667,7.8
9251.041667,15.2903
9281.041667,11.0333
9312.041667,9.45161
9343.041667,10.5806
9373.041667,10.6
9404,10.2581
